layer,tracer,workload,configuration,time
L1,None,syscall_benchmark,getcpu_1_10000000,5112284442
L1,None,syscall_benchmark,getcpu_1_10000000,5091555700
L1,None,syscall_benchmark,getcpu_1_10000000,5096641714
L1,None,syscall_benchmark,getcpu_1_10000000,5120098883
L1,None,syscall_benchmark,getcpu_1_10000000,5084466661
L1,None,syscall_benchmark,getcpu_1_10000000,5107457158
L1,None,syscall_benchmark,getcpu_1_10000000,5078358724
L1,None,syscall_benchmark,getcpu_1_10000000,5070376022
L1,None,syscall_benchmark,getcpu_1_10000000,5143287150
L1,None,syscall_benchmark,getcpu_1_10000000,5166515820
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5842144574
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5816648047
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5836698256
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5828413116
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5782736555
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5972930890
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5840832521
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5797012810
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5846569528
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5854306078
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5800734314
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5832262475
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5836948815
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5852650879
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5900284275
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5831720354
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,6062194101
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5861616314
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5843595367
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5865931574
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5798192046
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5814436429
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5872602444
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5919251669
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5823730309
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5866157676
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5822204154
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,6001929584
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5858772397
L1,Ftrace_flight_recorder,syscall_benchmark,getcpu_1_10000000,5833011239
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6341840530
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6358432534
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6288096293
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6281837875
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6311453648
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6300442002
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6298366567
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6276799281
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6322916459
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6318079096
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6280112489
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6308830102
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6274950270
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6274872044
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6290672765
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6335306889
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6335287121
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6285010233
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6336589963
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6301675036
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6380245880
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6327836296
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6287157712
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6304578777
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6311021572
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6259842633
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6288888987
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6507202773
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6301432976
L1,Ftrace,syscall_benchmark,getcpu_1_10000000,6589900166
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5750232509
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5753080727
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5739898555
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5801432804
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5758737638
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5765179021
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5766515982
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5745001118
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5784374647
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5744907500
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5830547766
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5889415187
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5747886859
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5740067144
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5844091456
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5796550450
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5749453660
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5745416089
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5794603695
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5810985896
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5823048750
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5750595035
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5759813417
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5847675526
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5918563073
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5759506031
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5762350927
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5761274175
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5767860178
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5843280752
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6129212063
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6143796364
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6106469944
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6092395945
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6149323516
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6115361716
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6091320944
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6123095791
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6247457534
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6167782622
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6109939601
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6100811561
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6115142205
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6112848268
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6118096143
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6121430637
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6077972782
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6152607698
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6112331767
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6140365276
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6117073428
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6130459426
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6120138173
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6157941074
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6120946674
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6138746084
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6106347160
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6102094745
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6110559991
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6117573820
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34615692162
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34850102046
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34856028350
